Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia
77.jpg|Rayón|Parachoques trasero|Reparar
78.jpg|Abolladura|Capó |Reparar
78.jpg|Abolladura|Parachoques delantero|Reparar
78.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
79.jpg|Deformación|Puerta delantera izquierda|Reparar
79.jpg|Deformación|Puerta trasera izquierda|Reparar
80.jpg|Rotura|Faros derecho|Reemplazar
81.jpg|Rayón|Parachoques trasero|Reparar
82.jpg|Rotura|Parabrisas delantero|Reemplazar
83.jpg|Abolladura|Parachoques trasero|Reparar
84.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
84.jpg|Rotura|Rueda |Reparar
85.jpg|Desprendimiento|Parachoques delantero|Reparar
86.jpg|Rayón|Parachoques delantero|Reparar
87.jpg|Rayón|Guardabarros delantero derecho |Reparar
88.jpg|Rayón|Parachoques trasero|Reparar
89.jpg|Abolladura|Guardabarros delantero derecho |Reparar
90.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
90.jpg|Abolladura|Parachoques trasero|Reparar
90.jpg|Deformación|Maletero|Reparar
90.jpg|Rotura|Luz trasera izquierdo|Reparar
91.jpg|Rotura|Parabrisas delantero|Reemplazar
92.jpg|Deformación|Parachoques trasero|Reparar
92.jpg|Rotura|Luz trasera izquierdo|Reemplazar
93.jpg|Rayón|Puerta delantera izquierda|Reparar
94.jpg|Rotura|Parabrisas delantero|Reemplazar
95.jpg|Rotura|Parachoques delantero|Reparar
96.jpg|Abolladura|Guardabarros delantero derecho |Reparar
97.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
97.jpg|Deformación|Capó |Reparar
97.jpg|Fractura|Rejilla, parrilla|Reemplazar
97.jpg|Rotura|Parachoques delantero|Reparar
98.jpg|Abolladura|Puerta trasera derecha|Reparar
98.jpg|Rayón|Guardabarros delantero derecho |Reparar
99.jpg|Rotura|Parabrisas delantero|Reemplazar
100.jpg|Deformación|Guardabarros delantero derecho |Reparar
100.jpg|Rotura|Faros derecho|Reemplazar
100.jpg|Rotura|Parachoques delantero|Reparar
101.jpg|Abolladura|Parachoques delantero|Reparar
102.jpg|Fractura|Parachoques trasero|Reparar
103.jpg|Rayón|Parachoques delantero|Reparar
104.jpg|Rayón|Parachoques trasero|Reparar
105.jpg|Rotura|Ventana delantera derecha|Reemplazar
106.jpg|Abolladura|Guardabarros delantero derecho |Reparar
106.jpg|Abolladura|Marco de las puertas|Reparar
106.jpg|Deformación|Puerta delantera derecha|Reparar
107.jpg|Rotura|Rueda |Reparar
108.jpg|Fractura|Parachoques delantero|Reparar
109.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
109.jpg|Abolladura|Marco de las puertas|Reparar
110.jpg|Rayón|Puerta delantera derecha|Reparar
111.jpg|Rayón|Parachoques delantero|Reparar
111.jpg|Rayón|Guardabarros delantero derecho |Reparar
112.jpg|Abolladura|Marco de la ventana|Reparar
112.jpg|Rayón|Puerta trasera izquierda|Reparar
113.jpg|Rotura|Faros izquierdo|Reemplazar
113.jpg|Rotura|Parachoques delantero|Reparar
113.jpg|Rotura|Antiniebla delantero izquierdo|Reemplazar
114.jpg|Abolladura|Parachoques delantero|Reparar
115.jpg|Rotura|Parabrisas delantero|Reemplazar
116.jpg|Rotura|Luz trasera izquierdo|Reemplazar
116.jpg|Rotura|Parachoques trasero|Reemplazar
117.jpg|Deformación|Guardabarros trasero derecho|Reparar
117.jpg|Desprendimiento|Parachoques trasero|Reparar
117.jpg|Rotura|Luz trasera derecho|Reemplazar
118.jpg|Rayón|Parachoques delantero|Reparar
119.jpg|Rayón|Parachoques trasero|Reparar
120.jpg|Abolladura|Guardabarros trasero derecho|Reparar
120.jpg|Rayón|Parachoques trasero|Reparar
121.jpg|Rotura|Faros izquierdo|Reemplazar
122.jpg|Abolladura|Parachoques delantero|Reparar
122.jpg|Abolladura|Guardabarros delantero derecho |Reparar
122.jpg|Deformación|Capó |Reparar
122.jpg|Rotura|Faros derecho|Reemplazar
123.jpg|Abolladura|Guardabarros delantero derecho |Reparar
124.jpg|Rotura|Ventana delantera izquierda|Reemplazar
125.jpg|Rotura|Ventana delantera derecha|Reemplazar
126.jpg|Deformación|Capó |Reemplazar
127.jpg|Rotura|Parabrisas delantero|Reemplazar
128.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
128.jpg|Abolladura|Parachoques delantero|Reparar
128.jpg|Abolladura|Capó |Reparar
128.jpg|Rotura|Faros izquierdo|Reemplazar
129.jpg|Rotura|Parachoques delantero|Reparar
130.jpg|Abolladura|Puerta delantera izquierda|Reparar
130.jpg|Abolladura|Marco de las puertas|Reparar
131.jpg|Rayón|Puerta delantera derecha|Reparar
132.jpg|Abolladura|Parachoques trasero|Reparar
133.jpg|Rayón|Parachoques trasero|Reparar
134.jpg|Rayón|Parabrisas trasero|Reparar
135.jpg|Abolladura|Parachoques trasero|Reparar
135.jpg|Deformación|Guardabarros trasero izquierdo|Reparar
135.jpg|Rotura|Luz trasera izquierdo|Reemplazar
136.jpg|Abolladura|Parachoques delantero|Reparar
137.jpg|Rotura|Parachoques delantero|Reparar
138.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
139.jpg|Abolladura|Guardabarros delantero derecho |Reparar
140.jpg|Rotura|Parabrisas delantero|Reemplazar
141.jpg|Rotura|Parabrisas delantero|Reemplazar
142.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
142.jpg|Abolladura|Capó |Reparar
142.jpg|Fractura|Parachoques delantero|Reemplazar
142.jpg|Rotura|Faros izquierdo|Reemplazar
143.jpg|Rotura|Ventanilla trasera izquierda      |Reemplazar
144.jpg|Rotura|Faros derecho|Reemplazar
145.jpg|Rayón|Puerta trasera izquierda|Reparar
145.jpg|Rayón|Guardabarros trasero izquierdo|Reparar
146.jpg|Rayón|Guardabarros trasero izquierdo|Reparar
147.jpg|Rotura|Parabrisas delantero|Reemplazar
148.jpg|Rotura|Rueda |Reparar
149.jpg|Rayón|Parachoques trasero|Reparar
150.jpg|Rayón|Parachoques delantero|Reparar
151.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
152.jpg|Rayón|Puerta trasera izquierda|Reparar
152.jpg|Rayón|Guardabarros trasero izquierdo|Reparar
153.jpg|Abolladura|Capó |Reparar
153.jpg|Deformación|Guardabarros delantero izquierdo |Reemplazar
153.jpg|Desprendimiento|Parachoques delantero|Reparar
153.jpg|Rotura|Faros izquierdo|Reemplazar
154.jpg|Abolladura|Puerta delantera izquierda|Reparar
154.jpg|Abolladura|Marco de las puertas|Reparar
154.jpg|Deformación|Guardabarros delantero derecho |Reemplazar
155.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
156.jpg|Rotura|Rueda |Reparar
157.jpg|Rotura|Parabrisas delantero|Reemplazar
158.jpg|Desprendimiento|Parachoques delantero|Reparar
158.jpg|Rotura|Faros derecho|Reemplazar
159.jpg|Rotura|Rueda |Reparar
160.jpg|Rayón|Parachoques delantero|Reparar
161.jpg|Abolladura|Puerta trasera derecha|Reparar
161.jpg|Abolladura|Guardabarros trasero derecho|Reparar
162.jpg|Abolladura|Parachoques delantero|Reparar
163.jpg|Abolladura|Puerta trasera derecha|Reparar
164.jpg|Abolladura|Parachoques trasero|Reparar
165.jpg|Abolladura|Parachoques delantero|Reparar
166.jpg|Rayón|Guardabarros delantero derecho |Reparar
167.jpg|Rotura|Ventana delantera izquierda|Reemplazar
168.jpg|Abolladura|Parachoques trasero|Reparar
169.jpg|Abolladura|Maletero|Reparar
170.jpg|Rotura|Parabrisas delantero|Reemplazar
171.jpg|Rotura|Ventana delantera izquierda|Reemplazar
172.jpg|Abolladura|Parachoques trasero|Reparar
173.jpg|Deformación|Capó |Reemplazar
173.jpg|Rotura|Parachoques delantero|Reemplazar
173.jpg|Rotura|Faros izquierdo|Reemplazar
173.jpg|Rotura|Rejilla, parrilla|Reemplazar
174.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
174.jpg|Rayón|Parachoques delantero|Reparar
174.jpg|Rotura|Rueda |Reparar
175.jpg|Rayón|Parachoques delantero|Reparar
176.jpg|Deformación|Capó |Reemplazar
176.jpg|Desprendimiento|Guardabarros delantero izquierdo |Reemplazar
176.jpg|Desprendimiento|Parachoques delantero|Reemplazar
176.jpg|Desprendimiento|Rejilla, parrilla|Reemplazar
177.jpg|Rayón|Parachoques trasero|Reparar
178.jpg|Abolladura|Puerta trasera izquierda|Reparar
178.jpg|Abolladura|Marco de las puertas|Reparar
178.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
178.jpg|Abolladura|Parachoques trasero|Reparar
179.jpg|Rayón|Parachoques delantero|Reparar
180.jpg|Rotura|Faros izquierdo|Reemplazar
181.jpg|Rotura|Parabrisas delantero|Reemplazar
182.jpg|Desprendimiento|Parachoques delantero|Reemplazar
182.jpg|Rayón|Capó |Reparar
183.jpg|Abolladura|Guardabarros delantero derecho |Reparar
184.jpg|Rotura|Parabrisas delantero|Reemplazar
185.jpg|Abolladura|Guardabarros delantero derecho |Reparar
185.jpg|Rayón|Parachoques delantero|Reparar
186.jpg|Abolladura|Parachoques trasero|Reparar
187.jpg|Fractura|Parachoques delantero|Reparar
188.jpg|Rotura|Rueda |Reparar
189.jpg|Rayón|Parachoques delantero|Reparar
190.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
191.jpg|Abolladura|Parachoques trasero|Reparar
192.jpg|Abolladura|Parachoques trasero|Reparar
193.jpg|Rayón|Parachoques delantero|Reparar
194.jpg|Abolladura|Puerta delantera derecha|Reparar
195.jpg|Abolladura|Capó |Reparar
195.jpg|Deformación|Techo |Reparar
195.jpg|Rotura|Parabrisas delantero|Reemplazar
196.jpg|Deformación|Capó |Reparar
196.jpg|Fractura|Parachoques delantero|Reemplazar
196.jpg|Fractura|Rejilla, parrilla|Reemplazar
197.jpg|Rotura|Parabrisas delantero|Reemplazar
198.jpg|Abolladura|Guardabarros delantero derecho |Reparar
198.jpg|Abolladura|Parachoques delantero|Reparar
199.jpg|Rayón|Puerta delantera izquierda|Reparar
200.jpg|Rayón|Parachoques trasero|Reparar
201.jpg|Rayón|Parachoques delantero|Reparar
202.jpg|Rotura|Luz trasera derecho|Reemplazar
203.jpg|Abolladura|Maletero|Reparar
204.jpg|Rayón|Maletero|Reparar
205.jpg|Deformación|Puerta delantera izquierda|Reemplazar
206.jpg|Rotura|Parabrisas delantero|Reemplazar
207.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
208.jpg|Rotura|Parabrisas delantero|Reemplazar
209.jpg|Rayón|Parachoques trasero|Reparar
210.jpg|Rayón|Guardabarros trasero izquierdo|Reparar
210.jpg|Rayón|Parachoques trasero|Reparar
211.jpg|Abolladura|Parachoques delantero|Reparar
211.jpg|Desprendimiento|Guardabarros delantero derecho |Reparar
212.jpg|Rotura|Ventana trasera derecha|Reemplazar
213.jpg|Deformación|Puerta delantera izquierda|Reemplazar
214.jpg|Rotura|Luz trasera izquierdo|Reemplazar
215.jpg|Abolladura|Puerta delantera izquierda|Reparar
216.jpg|Abolladura|Maletero|Reparar
217.jpg|Rayón|Parachoques trasero|Reparar
218.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
219.jpg|Abolladura|Puerta trasera izquierda|Reparar
219.jpg|Deformación|Puerta delantera izquierda|Reemplazar
219.jpg|Deformación|Marco de las puertas|Reparar
220.jpg|Abolladura|Parachoques trasero|Reparar
221.jpg|Desprendimiento|Guardabarros delantero izquierdo |Reemplazar
221.jpg|Rotura|Rueda |Reemplazar
222.jpg|Abolladura|Puerta delantera izquierda|Reparar
223.jpg|Rayón|Puerta delantera derecha|Reparar
224.jpg|Rotura|Parabrisas delantero|Reemplazar
225.jpg|Rayón|Parachoques delantero|Reparar
226.jpg|Rotura|Faros derecho|Reemplazar
227.jpg|Rotura|Rueda |Reparar
228.jpg|Rayón|Puerta delantera izquierda|Reparar
229.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
229.jpg|Desprendimiento|Parachoques delantero|Reparar
229.jpg|Rotura|Rueda |Reparar
230.jpg|Rotura|Faros izquierdo|Reemplazar
231.jpg|Abolladura|Parachoques delantero|Reparar
231.jpg|Abolladura|Guardabarros delantero derecho |Reparar
232.jpg|Rayón|Parachoques delantero|Reparar
233.jpg|Rayón|Parachoques delantero|Reparar
234.jpg|Rotura|Luz trasera izquierdo|Reemplazar
235.jpg|Abolladura|Parachoques delantero|Reparar
236.jpg|Abolladura|Guardabarros delantero derecho |Reparar
237.jpg|Rotura|Rueda |Reparar
238.jpg|Rayón|Guardabarros trasero derecho|Reparar
239.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
239.jpg|Rotura|Faros izquierdo|Reemplazar
240.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
240.jpg|Rotura|Rueda |Reparar
241.jpg|Abolladura|Parachoques delantero|Reparar
241.jpg|Abolladura|Capó |Reparar
241.jpg|Deformación|Guardabarros delantero derecho |Reemplazar
241.jpg|Rotura|Faros derecho|Reemplazar
242.jpg|Abolladura|Parachoques trasero|Reparar
242.jpg|Abolladura|Guardabarros trasero derecho|Reparar
242.jpg|Abolladura|Puerta trasera derecha|Reparar
242.jpg|Abolladura|Marco de las puertas|Reparar
243.jpg|Rotura|Ventana trasera derecha|Reemplazar
244.jpg|Abolladura|Guardabarros delantero derecho |Reparar
245.jpg|Abolladura|Parachoques delantero|Reparar
245.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
245.jpg|Abolladura|Capó |Reparar
245.jpg|Desprendimiento|Espejo lateral izquierdo|Reemplazar
245.jpg|Rotura|Faros izquierdo|Reemplazar
246.jpg|Rayón|Guardabarros delantero derecho |Reparar
247.jpg|Rotura|Parabrisas delantero|Reemplazar
248.jpg|Rayón|Parachoques delantero|Reparar
249.jpg|Rayón|Parachoques delantero|Reparar
249.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
250.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
250.jpg|Rayón|Parachoques delantero|Reparar
251.jpg|Abolladura|Parachoques delantero|Reparar
251.jpg|Abolladura|Capó |Reparar
251.jpg|Abolladura|Guardabarros delantero derecho |Reparar
251.jpg|Rotura|Faros derecho|Reemplazar
252.jpg|Abolladura|Puerta trasera izquierda|Reparar
253.jpg|Rotura|Parachoques delantero|Reemplazar
254.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
254.jpg|Abolladura|Parachoques delantero|Reparar
255.jpg|Rayón|Parachoques delantero|Reparar
256.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
257.jpg|Rayón|Parachoques delantero|Reparar
258.jpg|Abolladura|Guardabarros trasero derecho|Reparar
258.jpg|Desprendimiento|Parachoques trasero|Reparar
258.jpg|Rotura|Luz trasera derecho|Reemplazar
259.jpg|Rotura|Rueda |Reparar
260.jpg|Rotura|Parabrisas trasero|Reemplazar
261.jpg|Abolladura|Puerta trasera izquierda|Reparar
262.jpg|Abolladura|Guardabarros trasero derecho|Reparar
262.jpg|Abolladura|Puerta trasera derecha|Reparar
263.jpg|Abolladura|Puerta trasera derecha|Reparar
263.jpg|Abolladura|Puerta delantera derecha|Reparar
263.jpg|Abolladura|Marco de las puertas|Reparar
264.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
265.jpg|Rayón|Parachoques delantero|Reparar
266.jpg|Rotura|Ventanilla trasera izquierda      |Reemplazar
267.jpg|Rotura|Faros izquierdo|Reemplazar
267.jpg|Rotura|Parachoques delantero|Reemplazar
268.jpg|Rotura|Luz trasera derecho|Reemplazar
269.jpg|Abolladura|Guardabarros trasero derecho|Reparar
269.jpg|Abolladura|Puerta trasera derecha|Reparar
270.jpg|Rotura|Parabrisas trasero|Reemplazar
271.jpg|Rotura|Rueda |Reparar
272.jpg|Rotura|Parabrisas delantero|Reemplazar
273.jpg|Rotura|Ventana delantera derecha|Reemplazar
274.jpg|Rotura|Rueda |Reemplazar
274.jpg|Rotura|Guardabarros delantero derecho |Reemplazar
274.jpg|Rotura|Parachoques delantero|Reparar
275.jpg|Rotura|Luz trasera izquierdo|Reemplazar
276.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
276.jpg|Rotura|Faros izquierdo|Reemplazar
276.jpg|Rotura|Parachoques delantero|Reemplazar
277.jpg|Rayón|Parachoques delantero|Reparar
278.jpg|Rotura|Parabrisas trasero|Reemplazar
279.jpg|Fractura|Parachoques delantero|Reparar
280.jpg|Rayón|Parachoques trasero|Reparar
281.jpg|Abolladura|Parachoques trasero|Reparar
281.jpg|Abolladura|Guardabarros trasero derecho|Reparar
282.jpg|Rotura|Rueda |Reparar
283.jpg|Abolladura|Guardabarros trasero derecho|Reparar
283.jpg|Abolladura|Parachoques trasero|Reparar
283.jpg|Rotura|Luz trasera derecho|Reemplazar
284.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
285.jpg|Abolladura|Parachoques trasero|Reparar
286.jpg|Rotura|Parabrisas delantero|Reemplazar
287.jpg|Rotura|Rueda |Reemplazar
288.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
288.jpg|Fractura|Parachoques delantero|Reparar
289.jpg|Rayón|Parachoques delantero|Reparar
290.jpg|Rayón|Parachoques delantero|Reparar
291.jpg|Rayón|Parachoques delantero|Reparar
292.jpg|Abolladura|Guardabarros delantero derecho |Reparar
292.jpg|Rayón|Parachoques delantero|Reparar
293.jpg|Abolladura|Parachoques delantero|Reparar
293.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
294.jpg|Rotura|Rueda |Reparar
295.jpg|Rayón|Parachoques delantero|Reparar
296.jpg|Rayón|Puerta delantera derecha|Reparar
297.jpg|Abolladura|Guardabarros delantero derecho |Reparar
297.jpg|Abolladura|Capó |Reparar
298.jpg|Rayón|Parachoques delantero|Reparar
299.jpg|Rayón|Parachoques trasero|Reparar
299.jpg|Rotura|Luz trasera izquierdo|Reemplazar
300.jpg|Abolladura|Puerta delantera izquierda|Reparar
301.jpg|Rotura|Luz trasera derecho|Reemplazar
302.jpg|Rotura|Parachoques delantero|Reemplazar
303.jpg|Rotura|Parachoques trasero|Reparar
304.jpg|Rayón|Parachoques delantero|Reparar
305.jpg|Rayón|Parachoques delantero|Reparar
306.jpg|Rotura|Luz trasera izquierdo|Reemplazar
307.jpg|Rotura|Parabrisas delantero|Reemplazar
308.jpg|Fractura|Guardabarros trasero izquierdo|Reparar
309.jpg|Abolladura|Maletero|Reparar
310.jpg|Rayón|Parachoques delantero|Reparar
311.jpg|Rotura|Parabrisas delantero|Reemplazar
312.jpg|Abolladura|Parachoques trasero|Reparar
313.jpg|Rayón|Guardabarros delantero izquierdo |Reparar
313.jpg|Rayón|Puerta delantera izquierda|Reparar
314.jpg|Abolladura|Puerta trasera izquierda|Reparar
314.jpg|Deformación|Puerta delantera izquierda|Reparar
315.jpg|Abolladura|Puerta delantera izquierda|Reparar
315.jpg|Abolladura|Puerta trasera izquierda|Reparar
316.jpg|Abolladura|Puerta delantera izquierda|Reparar
316.jpg|Abolladura|Puerta trasera izquierda|Reparar
317.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
317.jpg|Deformación|Puerta delantera izquierda|Reemplazar
317.jpg|Desprendimiento|Luz indicadora delantera izquierda|Reemplazar
318.jpg|Fractura|Parachoques trasero|Reparar
319.jpg|Abolladura|Parachoques delantero|Reparar
320.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
320.jpg|Desprendimiento|Parachoques delantero|Reparar
320.jpg|Rotura|Faros izquierdo|Reemplazar
321.jpg|Abolladura|Puerta delantera izquierda|Reparar
321.jpg|Desprendimiento|Rueda |Reemplazar
321.jpg|Rotura|Ventana trasera izquierda|Reemplazar
321.jpg|Rotura|Ventanilla trasera izquierda      |Reemplazar
322.jpg|Rayón|Parachoques delantero|Reparar
322.jpg|Rotura|Rueda |Reparar
323.jpg|Abolladura|Parachoques trasero|Reparar
324.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
325.jpg|Deformación|Guardabarros delantero izquierdo |Reparar
325.jpg|Rotura|Parachoques delantero|Reparar
326.jpg|Rayón|Guardabarros trasero derecho|Reparar
326.jpg|Rotura|Luz trasera derecho|Reemplazar
327.jpg|Abolladura|Puerta delantera derecha|Reparar
327.jpg|Abolladura|Marco de las puertas|Reparar
327.jpg|Abolladura|Guardabarros trasero derecho|Reparar
328.jpg|Rotura|Ventana trasera derecha|Reemplazar
329.jpg|Deformación|Guardabarros delantero izquierdo |Reemplazar
329.jpg|Desprendimiento|Parachoques delantero|Reparar
330.jpg|Abolladura|Guardabarros delantero derecho |Reparar
331.jpg|Abolladura|Parachoques delantero|Reparar
332.jpg|Abolladura|Puerta delantera izquierda|Reparar
332.jpg|Abolladura|Marco de las puertas|Reparar
333.jpg|Abolladura|Parachoques trasero|Reparar
333.jpg|Abolladura|Maletero|Reparar
334.jpg|Abolladura|Parachoques delantero|Reparar
334.jpg|Rotura|Faros derecho|Reemplazar
335.jpg|Rayón|Parachoques trasero|Reparar
336.jpg|Rotura|Parachoques trasero|Reemplazar
337.jpg|Rotura|Parabrisas trasero|Reemplazar
338.jpg|Abolladura|Marco de las puertas|Reparar
338.jpg|Deformación|Puerta delantera derecha|Reparar
339.jpg|Abolladura|Guardabarros trasero derecho|Reparar
339.jpg|Deformación|Parachoques trasero|Reemplazar
339.jpg|Rotura|Luz trasera derecho|Reemplazar
340.jpg|Rotura|Luz trasera derecho|Reemplazar
341.jpg|Abolladura|Guardabarros delantero izquierdo |Reparar
342.jpg|Rotura|Rueda |Reparar
343.jpg|Abolladura|Guardabarros trasero izquierdo|Reparar
344.jpg|Rayón|Parachoques delantero|Reparar
