Imagen|Piezas del Vehículo|Tipos de Daño|Sugerencia
1039.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
104.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1040.jpg|['Puerta delantera izquierda', 'Guardabarros delantero izquierdo ', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar']
1041.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1042.jpg|['Rueda ']|['Rotura']|['Reparar']
1043.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1044.jpg|['Guardabarros trasero izquierdo', 'Luz trasera izquierdo']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
1045.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1046.jpg|['Guardabarros delantero derecho ', 'Espejo lateral derecho', 'Luz indicadora delantera derecha']|['Abolladura', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
1047.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1048.jpg|['Guardabarros delantero izquierdo ', 'Marco de las puertas', 'Puerta delantera izquierda', 'Rueda ']|['Abolladura', 'Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reparar']
1049.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
105.jpg|['Ventana delantera derecha']|['Rotura']|['Reemplazar']
1050.jpg|['Rueda ']|['Rotura']|['Reparar']
1051.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1052.jpg|['Parachoques trasero', 'Maletero', 'Luz trasera izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1053.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1054.jpg|['Puerta delantera izquierda', 'Capó ', 'Espejo lateral izquierdo', 'Ventanilla trasera izquierda      ']|['Abolladura', 'Deformación', 'Rotura', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
1055.jpg|['Puerta delantera izquierda', 'Puerta trasera izquierda']|['Abolladura', 'Deformación']|['Reparar', 'Reemplazar']
1056.jpg|['Capó ', 'Parachoques delantero']|['Abolladura', 'Desprendimiento']|['Reparar', 'Reemplazar']
1057.jpg|['Parachoques delantero', 'Luz indicadora delantera izquierda']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
1058.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1059.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
106.jpg|['Guardabarros delantero derecho ', 'Marco de las puertas', 'Puerta delantera derecha']|['Abolladura', 'Abolladura', 'Deformación']|['Reparar', 'Reparar', 'Reparar']
1060.jpg|['Puerta trasera izquierda']|['Rayón']|['Reparar']
1061.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1062.jpg|['Rejilla, parrilla', 'Parachoques delantero', 'Faros derecho', 'Faros izquierdo', 'Parabrisas delantero']|['Desprendimiento', 'Rotura', 'Rotura', 'Rotura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
1063.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1064.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1065.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1066.jpg|['Techo ', 'Marco de la ventana', 'Parabrisas delantero']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1067.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1068.jpg|['Guardabarros delantero derecho ', 'Moldura puerta delantera derecha']|['Abolladura', 'Desprendimiento']|['Reparar', 'Reemplazar']
1069.jpg|['Parachoques delantero', 'Faros derecho']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
107.jpg|['Rueda ']|['Rotura']|['Reparar']
1070.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1071.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
1072.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1073.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1074.jpg|['Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Deformación', 'Rotura']|['Reemplazar', 'Reemplazar']
1075.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
1076.jpg|['Rueda ']|['Rotura']|['Reparar']
1077.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1078.jpg|['Rueda ']|['Rotura']|['Reparar']
1079.jpg|['Parachoques trasero', 'Luz trasera derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
108.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
1080.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1081.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1082.jpg|['Capó ', 'Parachoques delantero', 'Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Abolladura', 'Deformación', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
1083.jpg|['Parachoques trasero', 'Guardabarros trasero izquierdo']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
1084.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
1085.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1086.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1087.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1088.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Deformación', 'Desprendimiento', 'Rotura']|['Reparar', 'Reemplazar', 'Reemplazar']
1089.jpg|['Faros derecho', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reparar']
109.jpg|['Guardabarros trasero izquierdo', 'Marco de las puertas']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
1090.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1091.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1092.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1093.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1094.jpg|['Guardabarros delantero izquierdo ']|['Rayón']|['Reparar']
1095.jpg|['Ventana trasera derecha']|['Rotura']|['Reemplazar']
1096.jpg|['Capó ', 'Faros derecho']|['Abolladura', 'Rotura']|['Reparar', 'Reemplazar']
1097.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1098.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1099.jpg|['Marco de las puertas', 'Puerta trasera izquierda', 'Puerta delantera izquierda']|['Abolladura', 'Abolladura', 'Deformación']|['Reparar', 'Reparar', 'Reemplazar']
11.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
110.jpg|['Puerta delantera derecha']|['Rayón']|['Reparar']
1100.jpg|['Parachoques delantero', 'Guardabarros delantero izquierdo ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1101.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
1102.jpg|['Parachoques delantero', 'Parabrisas trasero', 'Faros derecho', 'Guardabarros delantero derecho ']|['Desprendimiento', 'Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
1103.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1104.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
1105.jpg|['Parachoques trasero', 'Luz trasera izquierdo']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
1106.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
1107.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1108.jpg|['Guardabarros delantero izquierdo ', 'Puerta delantera izquierda', 'Rueda ', 'Parachoques delantero']|['Abolladura', 'Abolladura', 'Desprendimiento', 'Desprendimiento']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
1109.jpg|['Faros derecho', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reparar']
111.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
1110.jpg|['Guardabarros trasero derecho', 'Parachoques trasero']|['Abolladura', 'Fractura']|['Reparar', 'Reparar']
1111.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1112.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
1113.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1114.jpg|['Faros derecho', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reparar']
1115.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1116.jpg|['Parachoques delantero', 'Faros izquierdo']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
1117.jpg|['Parachoques delantero', 'Faros derecho']|['Rayón', 'Rotura']|['Reparar', 'Reemplazar']
1118.jpg|['Guardabarros delantero izquierdo ', 'Puerta trasera izquierda']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
1119.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
112.jpg|['Marco de la ventana', 'Puerta trasera izquierda']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
1120.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
1121.jpg|['Guardabarros delantero izquierdo ', 'Guardabarros delantero izquierdo ']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
1122.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1123.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
1124.jpg|['Faros derecho', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reparar']
1125.jpg|['Guardabarros delantero derecho ', 'Puerta delantera derecha']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
1126.jpg|['Techo ', 'Marco de la ventana']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
1127.jpg|['Guardabarros delantero derecho ', 'Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Abolladura', 'Rayón']|['Reparar', 'Reparar', 'Reparar']
1128.jpg|['Guardabarros delantero derecho ']|['Rayón']|['Reparar']
1129.jpg|['Puerta delantera derecha']|['Abolladura']|['Reparar']
113.jpg|['Faros izquierdo', 'Parachoques delantero', 'Antiniebla delantero izquierdo']|['Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reparar', 'Reemplazar']
1130.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1131.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
1132.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
1133.jpg|['Maletero']|['Abolladura']|['Reparar']
1134.jpg|['Rueda ']|['Rotura']|['Reparar']
1135.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
1136.jpg|['Guardabarros trasero izquierdo', 'Puerta trasera izquierda', 'Marco de las puertas']|['Abolladura', 'Deformación', 'Deformación']|['Reparar', 'Reemplazar', 'Reparar']
1137.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
1138.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
1139.jpg|['Maletero']|['Abolladura']|['Reparar']
114.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
1140.jpg|['Faros derecho', 'Parachoques delantero']|['Rotura', 'Rotura']|['Reemplazar', 'Reparar']
1141.jpg|['Ventana delantera derecha']|['Rotura']|['Reemplazar']
1142.jpg|['Rueda ']|['Rotura']|['Reparar']
1143.jpg|['Parachoques trasero', 'Guardabarros trasero derecho']|['Rotura', 'Rotura']|['Reparar', 'Reparar']
1144.jpg|['Puerta trasera derecha', 'Puerta delantera derecha']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
1145.jpg|['Puerta delantera derecha', 'Guardabarros delantero derecho ', 'Parabrisas delantero']|['Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
115.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
116.jpg|['Luz trasera izquierdo', 'Parachoques trasero']|['Rotura', 'Rotura']|['Reemplazar', 'Reemplazar']
117.jpg|['Guardabarros trasero derecho', 'Parachoques trasero', 'Luz trasera derecho']|['Deformación', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
118.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
119.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
12.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
120.jpg|['Guardabarros trasero derecho', 'Parachoques trasero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
121.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
122.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ', 'Capó ', 'Faros derecho']|['Abolladura', 'Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
123.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
124.jpg|['Ventana delantera izquierda']|['Rotura']|['Reemplazar']
125.jpg|['Ventana delantera derecha']|['Rotura']|['Reemplazar']
126.jpg|['Capó ']|['Deformación']|['Reemplazar']
127.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
128.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Capó ', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Abolladura', 'Rotura']|['Reparar', 'Reparar', 'Reparar', 'Reemplazar']
129.jpg|['Parachoques delantero']|['Rotura']|['Reparar']
13.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
130.jpg|['Puerta delantera izquierda', 'Marco de las puertas']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
131.jpg|['Puerta delantera derecha']|['Rayón']|['Reparar']
132.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
133.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
134.jpg|['Parabrisas trasero']|['Rayón']|['Reparar']
135.jpg|['Parachoques trasero', 'Guardabarros trasero izquierdo', 'Luz trasera izquierdo']|['Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
136.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
137.jpg|['Parachoques delantero']|['Rotura']|['Reparar']
138.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
139.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
14.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
140.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
141.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
142.jpg|['Guardabarros delantero izquierdo ', 'Capó ', 'Parachoques delantero', 'Faros izquierdo']|['Abolladura', 'Abolladura', 'Fractura', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
143.jpg|['Ventanilla trasera izquierda      ']|['Rotura']|['Reemplazar']
144.jpg|['Faros derecho']|['Rotura']|['Reemplazar']
145.jpg|['Puerta trasera izquierda', 'Guardabarros trasero izquierdo']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
146.jpg|['Guardabarros trasero izquierdo']|['Rayón']|['Reparar']
147.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
148.jpg|['Rueda ']|['Rotura']|['Reparar']
149.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
15.jpg|['Faros derecho', 'Parachoques delantero', 'Guardabarros delantero derecho ', 'Luz indicadora delantera derecha']|['Rotura', 'Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reparar', 'Reparar', 'Reemplazar']
150.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
151.jpg|['Guardabarros delantero izquierdo ']|['Abolladura']|['Reparar']
152.jpg|['Puerta trasera izquierda', 'Guardabarros trasero izquierdo']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
153.jpg|['Capó ', 'Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Faros izquierdo']|['Abolladura', 'Deformación', 'Desprendimiento', 'Rotura']|['Reparar', 'Reemplazar', 'Reparar', 'Reemplazar']
154.jpg|['Puerta delantera izquierda', 'Marco de las puertas', 'Guardabarros delantero derecho ']|['Abolladura', 'Abolladura', 'Deformación']|['Reparar', 'Reparar', 'Reemplazar']
155.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
156.jpg|['Rueda ']|['Rotura']|['Reparar']
157.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
158.jpg|['Parachoques delantero', 'Faros derecho']|['Desprendimiento', 'Rotura']|['Reparar', 'Reemplazar']
159.jpg|['Rueda ']|['Rotura']|['Reparar']
16.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
160.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
161.jpg|['Puerta trasera derecha', 'Guardabarros trasero derecho']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
162.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
163.jpg|['Puerta trasera derecha']|['Abolladura']|['Reparar']
164.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
165.jpg|['Parachoques delantero']|['Abolladura']|['Reparar']
166.jpg|['Guardabarros delantero derecho ']|['Rayón']|['Reparar']
167.jpg|['Ventana delantera izquierda']|['Rotura']|['Reemplazar']
168.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
169.jpg|['Maletero']|['Abolladura']|['Reparar']
17.jpg|['Puerta trasera derecha', 'Guardabarros trasero derecho']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
170.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
171.jpg|['Ventana delantera izquierda']|['Rotura']|['Reemplazar']
172.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
173.jpg|['Capó ', 'Parachoques delantero', 'Faros izquierdo', 'Rejilla, parrilla']|['Deformación', 'Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
174.jpg|['Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Rueda ']|['Abolladura', 'Rayón', 'Rotura']|['Reparar', 'Reparar', 'Reparar']
175.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
176.jpg|['Capó ', 'Guardabarros delantero izquierdo ', 'Parachoques delantero', 'Rejilla, parrilla']|['Deformación', 'Desprendimiento', 'Desprendimiento', 'Desprendimiento']|['Reemplazar', 'Reemplazar', 'Reemplazar', 'Reemplazar']
177.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
178.jpg|['Puerta trasera izquierda', 'Marco de las puertas', 'Guardabarros trasero izquierdo', 'Parachoques trasero']|['Abolladura', 'Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar', 'Reparar']
179.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
18.jpg|['Faros derecho', 'Parachoques delantero', 'Luz indicadora delantera derecha']|['Rotura', 'Rotura', 'Rotura']|['Reemplazar', 'Reemplazar', 'Reemplazar']
180.jpg|['Faros izquierdo']|['Rotura']|['Reemplazar']
181.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
182.jpg|['Parachoques delantero', 'Capó ']|['Desprendimiento', 'Rayón']|['Reemplazar', 'Reparar']
183.jpg|['Guardabarros delantero derecho ']|['Abolladura']|['Reparar']
184.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
185.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Rayón']|['Reparar', 'Reparar']
186.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
187.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
188.jpg|['Rueda ']|['Rotura']|['Reparar']
189.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
19.jpg|['Parabrisas trasero']|['Rotura']|['Reemplazar']
190.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
191.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
192.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
193.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
194.jpg|['Puerta delantera derecha']|['Abolladura']|['Reparar']
195.jpg|['Capó ', 'Techo ', 'Parabrisas delantero']|['Abolladura', 'Deformación', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar']
196.jpg|['Capó ', 'Parachoques delantero', 'Rejilla, parrilla']|['Deformación', 'Fractura', 'Fractura']|['Reparar', 'Reemplazar', 'Reemplazar']
197.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
198.jpg|['Guardabarros delantero derecho ', 'Parachoques delantero']|['Abolladura', 'Abolladura']|['Reparar', 'Reparar']
199.jpg|['Puerta delantera izquierda']|['Rayón']|['Reparar']
2.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
20.jpg|['Puerta delantera izquierda', 'Guardabarros delantero izquierdo ', 'Marco de las puertas']|['Abolladura', 'Abolladura', 'Abolladura']|['Reparar', 'Reparar', 'Reparar']
200.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
201.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
202.jpg|['Luz trasera derecho']|['Rotura']|['Reemplazar']
203.jpg|['Maletero']|['Abolladura']|['Reparar']
204.jpg|['Maletero']|['Rayón']|['Reparar']
205.jpg|['Puerta delantera izquierda']|['Deformación']|['Reemplazar']
206.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
207.jpg|['Guardabarros delantero izquierdo ']|['Rayón']|['Reparar']
208.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
209.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
21.jpg|['Guardabarros delantero derecho ', 'Capó ', 'Parachoques delantero', 'Faros derecho']|['Abolladura', 'Abolladura', 'Desprendimiento', 'Rotura']|['Reparar', 'Reparar', 'Reemplazar', 'Reemplazar']
210.jpg|['Guardabarros trasero izquierdo', 'Parachoques trasero']|['Rayón', 'Rayón']|['Reparar', 'Reparar']
211.jpg|['Parachoques delantero', 'Guardabarros delantero derecho ']|['Abolladura', 'Desprendimiento']|['Reparar', 'Reparar']
212.jpg|['Ventana trasera derecha']|['Rotura']|['Reemplazar']
213.jpg|['Puerta delantera izquierda']|['Deformación']|['Reemplazar']
214.jpg|['Luz trasera izquierdo']|['Rotura']|['Reemplazar']
215.jpg|['Puerta delantera izquierda']|['Abolladura']|['Reparar']
216.jpg|['Maletero']|['Abolladura']|['Reparar']
217.jpg|['Parachoques trasero']|['Rayón']|['Reparar']
218.jpg|['Guardabarros trasero izquierdo']|['Abolladura']|['Reparar']
219.jpg|['Puerta trasera izquierda', 'Puerta delantera izquierda', 'Marco de las puertas']|['Abolladura', 'Deformación', 'Deformación']|['Reparar', 'Reemplazar', 'Reparar']
22.jpg|['Parachoques delantero']|['Fractura']|['Reparar']
220.jpg|['Parachoques trasero']|['Abolladura']|['Reparar']
221.jpg|['Guardabarros delantero izquierdo ', 'Rueda ']|['Desprendimiento', 'Rotura']|['Reemplazar', 'Reemplazar']
222.jpg|['Puerta delantera izquierda']|['Abolladura']|['Reparar']
223.jpg|['Puerta delantera derecha']|['Rayón']|['Reparar']
224.jpg|['Parabrisas delantero']|['Rotura']|['Reemplazar']
225.jpg|['Parachoques delantero']|['Rayón']|['Reparar']
